sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2023-03-23_23:28:45_563 GMT+8
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
101,364385047,0.651058,-0.378523,-0.567976,-0.332035,0.216792,0.106814,0.007950
102,364401714,0.651093,-0.378564,-0.567939,-0.331983,0.236928,0.080877,0.003809
103,364418381,0.651108,-0.378633,-0.567881,-0.331974,0.228847,0.074348,0.015289
104,364435048,0.651177,-0.378618,-0.567880,-0.331858,0.222746,0.084020,0.015957
105,364451715,0.651225,-0.378639,-0.567858,-0.331777,0.222340,0.102685,0.013809
106,364468382,0.651249,-0.378691,-0.567823,-0.331729,0.231271,0.093872,0.017150
107,364485049,0.651268,-0.378752,-0.567767,-0.331719,0.229931,0.099157,0.013282
108,364501716,0.651298,-0.378787,-0.567734,-0.331677,0.235456,0.088001,0.015056
109,364518383,0.651340,-0.378815,-0.567707,-0.331608,0.245659,0.078628,0.016765
110,364535050,0.651379,-0.378841,-0.567687,-0.331536,0.224225,0.098293,0.015212
111,364551717,0.651446,-0.378824,-0.567686,-0.331426,0.229997,0.099425,0.015800
112,364568384,0.651410,-0.378958,-0.567590,-0.331509,0.242804,0.097263,0.002228
113,364585051,0.651434,-0.378983,-0.567571,-0.331465,0.255219,0.087125,0.012636
114,364601718,0.651433,-0.379054,-0.567523,-0.331468,0.240062,0.106713,0.009369
115,364618385,0.651451,-0.379110,-0.567474,-0.331453,0.240792,0.105942,0.019538
116,364635052,0.651466,-0.379161,-0.567435,-0.331431,0.242650,0.082006,0.021324
117,364651719,0.651511,-0.379157,-0.567433,-0.331350,0.242309,0.095553,-0.000932
